sentence,entity1,entity2,label
We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .,design,user proficiency,USED-FOR
We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .,granularity,user proficiency,EVALUATE-FOR
We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .,granularity,specificity,CONJUNCTION
We conclude by showing how our design can provide a rich and robust information base to a language assessment / correction application by modeling user proficiency at a high level of granularity and specificity .,specificity,user proficiency,EVALUATE-FOR
"Constraint propagation is one of the key techniques in constraint programming , and a large body of work has built up around it .",Constraint propagation,constraint programming,PART-OF
"In this paper we present SHORTSTR2 , a development of the Simple Tabular Reduction algorithm STR2 + .",Simple Tabular Reduction algorithm STR2 +,SHORTSTR2,USED-FOR
"We show that SHORTSTR2 is complementary to the existing algorithms SHORTGAC and HAGGISGAC that exploit short supports , while being much simpler .",SHORTSTR2,SHORTGAC,COMPARE
"We show that SHORTSTR2 is complementary to the existing algorithms SHORTGAC and HAGGISGAC that exploit short supports , while being much simpler .",SHORTSTR2,HAGGISGAC,COMPARE
"We show that SHORTSTR2 is complementary to the existing algorithms SHORTGAC and HAGGISGAC that exploit short supports , while being much simpler .",SHORTGAC,HAGGISGAC,CONJUNCTION
"When a constraint is amenable to short supports , the short support set can be exponentially smaller than the full-length support set .",short support set,full-length support set,COMPARE
"We also show that SHORTSTR2 can be combined with a simple algorithm to identify short supports from full-length supports , to provide a superior drop-in replacement for STR2 + .",SHORTSTR2,short supports,USED-FOR
"We also show that SHORTSTR2 can be combined with a simple algorithm to identify short supports from full-length supports , to provide a superior drop-in replacement for STR2 + .",SHORTSTR2,drop-in replacement,USED-FOR
"We also show that SHORTSTR2 can be combined with a simple algorithm to identify short supports from full-length supports , to provide a superior drop-in replacement for STR2 + .",algorithm,SHORTSTR2,CONJUNCTION
"We also show that SHORTSTR2 can be combined with a simple algorithm to identify short supports from full-length supports , to provide a superior drop-in replacement for STR2 + .",algorithm,short supports,USED-FOR
