entity1,entity2,relation_type
user modeling,spoken dialogue systems,PART-OF
studies,user model,COMPARE
decision tree learning,models,USED-FOR
real dialogue data,decision tree learning,USED-FOR
system,real dialogue data,USED-FOR
Dialogue strategies,Kyoto city bus information system,USED-FOR
user modeling,Dialogue strategies,USED-FOR
method,building polarity-tagged corpus,USED-FOR
HTML documents,method,USED-FOR
it,HTML documents,USED-FOR
layout structures,method,USED-FOR
layout structures,linguistic pattern,CONJUNCTION
linguistic pattern,method,USED-FOR
monolingual parallel corpora,paraphrases,USED-FOR
bilingual parallel corpora,task,USED-FOR
alignment techniques,phrase-based statistical machine translation,USED-FOR
paraphrases,bilingual parallel corpus,PART-OF
translation probabilities,paraphrases,USED-FOR
contextual information,it,USED-FOR
manual word alignments,paraphrase extraction and ranking methods,EVALUATE-FOR
quality,paraphrases,EVALUATE-FOR
paraphrases,automatic alignments,PART-OF
software,domain-independent means of evaluating Spoken Language Systems -LRB- SLS -RRB-,PART-OF
software,specifications,CONJUNCTION
specifications,domain-independent means of evaluating Spoken Language Systems -LRB- SLS -RRB-,PART-OF
specifications,answer expressions,USED-FOR
Common Answer Specification,syntax of answer expressions,USED-FOR
unsupervised learning method,associative relationships between verb phrases,USED-FOR
associative relationships between verb phrases,Q&A systems,USED-FOR
unsupervised learning method,associative relationship,USED-FOR
expectation-maximization -LRB- EM -RRB- based word-clustering algorithm,method,USED-FOR
Japanese verb phrases,method,USED-FOR
text data,language models,USED-FOR
web,text data,FEATURE-OF
language models,Automatic Speech Recognition,USED-FOR
language models,Keyword Search,USED-FOR
Automatic Speech Recognition,Keyword Search,CONJUNCTION
Low Resource Languages,Automatic Speech Recognition,USED-FOR
Low Resource Languages,Keyword Search,USED-FOR
blogs,genres,HYPONYM-OF
blogs,online news,CONJUNCTION
online news,genres,HYPONYM-OF
online news,translated TED talks,CONJUNCTION
translated TED talks,genres,HYPONYM-OF
translated TED talks,subtitles,CONJUNCTION
subtitles,genres,HYPONYM-OF
linearly interpolated language models,language modeling of conversational telephone speech,USED-FOR
blogs,movie subtitles,CONJUNCTION
blogs,language modeling of conversational telephone speech,USED-FOR
movie subtitles,language modeling of conversational telephone speech,USED-FOR
web data,Keyword Search,USED-FOR
Term Error Rate Performance,Keyword Search,EVALUATE-FOR
Maximum Term-Weighted Value,Keyword Search,EVALUATE-FOR
architectural modules,language functionalities,USED-FOR
referring expressions,language functionalities,HYPONYM-OF
referring expressions,lexical choice,CONJUNCTION
lexical choice,language functionalities,HYPONYM-OF
lexical choice,revision,CONJUNCTION
revision,language functionalities,HYPONYM-OF
modules,overall architecture,PART-OF
it,revision component,CONJUNCTION
revision component,pipelined NLG architecture,PART-OF
multi-page system,approach,EVALUATE-FOR
system,scenes descriptions in natural language,USED-FOR
components,system,PART-OF
syntactic analyzer,components,PART-OF
syntactic analyzer,semantic analyzer,CONJUNCTION
Procedural Systemic Grammar,syntactic analyzer,USED-FOR
semantic analyzer,components,PART-OF
semantic analyzer,dictionary,CONJUNCTION
Conceptual Dependency Theory,semantic analyzer,USED-FOR
dictionary,components,PART-OF
ranking,parses,FEATURE-OF
model,ranking,USED-FOR
features,model,USED-FOR
features,generative model,USED-FOR
method,reranking task,USED-FOR
boosting approach,method,USED-FOR
boosting approach,ranking problems,USED-FOR
boosting method,parsing,USED-FOR
Wall Street Journal treebank,boosting method,USED-FOR
log-likelihood,method,PART-OF
log-likelihood,baseline model,CONJUNCTION
F-measure,model,EVALUATE-FOR
F-measure,baseline model,EVALUATE-FOR
baseline model,model,COMPARE
algorithm,boosting approach,USED-FOR
sparsity of the feature space,algorithm,USED-FOR
sparsity of the feature space,parsing data,FEATURE-OF
algorithm,boosting approach,COMPARE
feature selection methods,log-linear -LRB- maximum-entropy -RRB- models,PART-OF
ranking tasks,NLP problems,USED-FOR
speech recognition,NLP problems,HYPONYM-OF
speech recognition,ranking tasks,HYPONYM-OF
speech recognition,machine translation,CONJUNCTION
machine translation,NLP problems,HYPONYM-OF
machine translation,ranking tasks,HYPONYM-OF
machine translation,natural language generation,CONJUNCTION
natural language generation,NLP problems,HYPONYM-OF
natural language generation,ranking tasks,HYPONYM-OF
model,class of languages,USED-FOR
reduplication,context-free languages,USED-FOR
model,pushdown automaton,HYPONYM-OF
stack,pushdown automaton,USED-FOR
stack,reduplication,USED-FOR
context-free languages,indexed languages,CONJUNCTION
model,reduplications,USED-FOR
unsupervised clustering,image set classification algorithm,USED-FOR
labeled training and unla-beled test data,unsupervised clustering,USED-FOR
probability distribution,set based similarity measure,USED-FOR
proximity matrix,local subspace structure,USED-FOR
Initial clusters,global data structure,USED-FOR
finer clusters,subtle class differences,USED-FOR
Grass-mannian manifolds,Image sets,USED-FOR
spectral clustering algorithm,Euclidean space,USED-FOR
eigenvector solver,spectral clustering,USED-FOR
computational cost,spectral clustering,EVALUATE-FOR
clustering quality,spectral clustering,EVALUATE-FOR
classification results,spectral clustering,EVALUATE-FOR
computational problems,probabilistic translation models,FEATURE-OF
probabilistic translation models,machine translation,USED-FOR
probabilistic context-free grammars,models,FEATURE-OF
Active shape models,complex image data,USED-FOR
search algorithms,models of shape variation,USED-FOR
pri-ori knowledge,search algorithms,USED-FOR
linearity,PCA,FEATURE-OF
rotations,non-linearities,HYPONYM-OF
user interaction,non-linear extensions of active shape models,USED-FOR
minimum description length principle,algorithm,USED-FOR
modes of variations,model,FEATURE-OF
synthetic data,method,EVALUATE-FOR
synthetic data,medical images,CONJUNCTION
medical images,method,EVALUATE-FOR
medical images,hand contours,CONJUNCTION
hand contours,method,EVALUATE-FOR
statistical techniques,ranking,USED-FOR
shallow mapping,hypotheses graph,USED-FOR
shallow mapping,permutation rules,CONJUNCTION
permutation rules,hypotheses graph,USED-FOR
methods,statistical feature functions,USED-FOR
vector components,methods,USED-FOR
log-linear combination,translation paths,USED-FOR
translation paths,graph,PART-OF
CMU and the SRI toolkit,language modelling toolkits,HYPONYM-OF
word-lemma based feature function models,token-based models,COMPARE
PoS-tag feature function,word-lemma model,PART-OF
structured dictionary,editor,USED-FOR
editor,dictionary,USED-FOR
linguistic theory,dictionary,USED-FOR
domain specific terms,internal and contextual information,FEATURE-OF
approach,term extraction,USED-FOR
delimiters,approach,USED-FOR
approach,term frequency,COMPARE
it,resource-limited domains,USED-FOR
Evaluations,Chinese term extraction,EVALUATE-FOR
approach,domain lexicon expansion,USED-FOR
method,systematic patterns in translation data,USED-FOR
part-of-speech tag sequences,method,USED-FOR
analysis,diagnostic tool,PART-OF
diagnostic tool,machine translation systems,USED-FOR
application,patterns in machine translation output,USED-FOR
number of hidden layers,multilayer neu-ral network,USED-FOR
threshold units,number of hidden layers,USED-FOR
`` critical cycle '',non-local configuration,HYPONYM-OF
approach,"intrinsic texture properties -LRB- albedo , shading , normal -RRB- of scenes",USED-FOR
multiple view acquisition,"intrinsic texture properties -LRB- albedo , shading , normal -RRB- of scenes",USED-FOR
unknown illumination conditions,multiple view acquisition,FEATURE-OF
approach,video relighting methods,COMPARE
it,richly textured scenes,USED-FOR
intrinsic image methods,"initial , low-frequency shading estimate",USED-FOR
"initial , low-frequency shading estimate",inherent global ambiguity in shading,USED-FOR
global lighting reconstruction,intrinsic image methods,USED-FOR
texture and coarse scene geometry,global lighting reconstruction,FEATURE-OF
method,relight-ing of free-viewpoint rendering,USED-FOR
multiple view video capture,relight-ing of free-viewpoint rendering,USED-FOR
reproduction of fine surface detail,relighting,FEATURE-OF
automatic evaluation,machine translation,EVALUATE-FOR
automatic evaluation,document summarization,EVALUATE-FOR
machine translation,document summarization,CONJUNCTION
measure,approach,USED-FOR
measure,automatically evaluating answers to definition questions,USED-FOR
TREC 2003 and TREC 2004 QA tracks,metric,EVALUATE-FOR
TREC 2003 and TREC 2004 QA tracks,POURPRE,EVALUATE-FOR
TREC 2003 and TREC 2004 QA tracks,metrics,EVALUATE-FOR
metric,rankings,USED-FOR
POURPRE,metrics,COMPARE
Automatic Speech Recognition technology,dialog systems,USED-FOR
system response,natural language generation community,PART-OF
natural language generation community,dialog systems,COMPARE
generation,dialog systems,USED-FOR
machine learning techniques,hand-crafting knowledge-based generation systems,USED-FOR
raw text in French,tool,USED-FOR
tool,anaphoric occurrences of il,USED-FOR
anaphora resolution system,anaphoric occurrences of il,USED-FOR
precision rate,ILIMP,EVALUATE-FOR
method,tasks,USED-FOR
method,ILIMP,USED-FOR
ILIMP,modular syntactic analysis system,USED-FOR
speech cues,robustness,FEATURE-OF
noise,reverberation,CONJUNCTION
noise,depression prediction,FEATURE-OF
reverberation,depression prediction,FEATURE-OF
mel-frequency cepstral coefficients -LRB- MFCCs -RRB-,depression prediction,USED-FOR
mel-frequency cepstral coefficients -LRB- MFCCs -RRB-,features,CONJUNCTION
features,noise robustness,USED-FOR
features,damped oscillator cepstral coefficients -LRB- DOCCs -RRB-,CONJUNCTION
additive noise,reverberation,CONJUNCTION
noise,reverberation,CONJUNCTION
DOCC features,MFCC features,COMPARE
artificial neural networks,support vector regression,COMPARE
spontaneous speech,read speech,COMPARE
cross-corpus -LRB- and cross-language -RRB- experiment,DOCCs,EVALUATE-FOR
cross-corpus -LRB- and cross-language -RRB- experiment,MFCCs,EVALUATE-FOR
noise and reverberation robustness,DOCCs,EVALUATE-FOR
noise and reverberation robustness,MFCCs,EVALUATE-FOR
DOCCs,MFCCs,COMPARE
document oriented preference sets -LRB- DoPS -RRB-,disambiguation of the dependency structure,USED-FOR
domain targeted preference knowledge,Sentence ambiguities,USED-FOR
domain targeted preference knowledge,knowledgebases,COMPARE
dependency structures,Japanese patent claim sentences,FEATURE-OF
parsing,Multimodal interfaces,USED-FOR
approach,multimodal integration,USED-FOR
unification-based grammar,multimodal integration,USED-FOR
unification-based grammar,multidimensional chart parser,USED-FOR
approach,multimodal parsing and understanding,USED-FOR
weighted finite-state device,multimodal parsing and understanding,USED-FOR
speech and gesture streams,weighted finite-state device,USED-FOR
approach,multimodal ambiguity resolution,USED-FOR
speech recognition,multimodal understanding,CONJUNCTION
SUMMIT,phonetically-based spoken language understanding system,HYPONYM-OF
knowledge engineering,heuristic rules,USED-FOR
approach,speech knowledge,USED-FOR
mathematical tools,speech knowledge,USED-FOR
features,decision strategies,CONJUNCTION
speech data,decision strategies,USED-FOR
tagged text corpus,program,EVALUATE-FOR
method,relative pose of two calibrated or uncalibrated non-overlapping surveillance cameras,USED-FOR
SfM pipelines,missing point correspondences,USED-FOR
non-linear nature,problem,FEATURE-OF
Quadratic Eigenvalue Problem,problem,USED-FOR
Quadratic Eigenvalue Problem,nonlinear monomials,USED-FOR
Quadratic Eigenvalue Problem,quasi closed-form solution,USED-FOR
quasi closed-form solution,bundle adjustment,USED-FOR
closed form solution,problem,USED-FOR
video surveillance,problem,FEATURE-OF
human action recognition system,embedded computer vision applications,USED-FOR
embedded computer vision applications,security systems,USED-FOR
embedded computer vision applications,human-computer interaction,USED-FOR
embedded computer vision applications,intelligent environments,USED-FOR
security systems,human-computer interaction,CONJUNCTION
human-computer interaction,intelligent environments,CONJUNCTION
system,embedded computer vision application,USED-FOR
linear Support Vector Machine -LRB- SVM -RRB- classifier,system,USED-FOR
embedded hardware,classification progress,USED-FOR
videos,compacted motion features,USED-FOR
Hierarchical Motion History Histogram -LRB- HMHH -RRB- feature,motion information,USED-FOR
HMHH,rich motion information,USED-FOR
MHI,HMHH,CONJUNCTION
MHI,low dimension feature vector,USED-FOR
HMHH,low dimension feature vector,USED-FOR
low dimension feature vector,SVM classifiers,USED-FOR
recognition,system,EVALUATE-FOR
uniform processing,model of grammatical processing,USED-FOR
knowledge sources,model of grammatical processing,USED-FOR
knowledge sources,uniform processing,CONJUNCTION
parsing,generation,CONJUNCTION
parsing,tasks,HYPONYM-OF
generation,tasks,HYPONYM-OF
parametrized deduction process,tasks,USED-FOR
Link detection,Topic Detection and Tracking tasks of new event detection,USED-FOR
story link detection,new event detection,CONJUNCTION
story link detection,systems,HYPONYM-OF
new event detection,systems,HYPONYM-OF
information retrieval task,story link detection,USED-FOR
information retrieval task,new event detection,USED-FOR
precision,recall,CONJUNCTION
precision,systems,EVALUATE-FOR
recall,systems,EVALUATE-FOR
part of speech tagging,performance enhancing techniques,PART-OF
part of speech tagging,similarity measures,CONJUNCTION
similarity measures,performance enhancing techniques,PART-OF
similarity measures,expanded stop lists,CONJUNCTION
expanded stop lists,performance enhancing techniques,PART-OF
psy-chophysical and machine learning techniques,visual classification,USED-FOR
Frontal views of human faces,gender classification task,USED-FOR
hyperplane learning algorithms,classification task,USED-FOR
Principal Components of the texture,hyperplane learning algorithms,USED-FOR
flowfield representation of the faces,hyperplane learning algorithms,USED-FOR
flowfield representation of the faces,Principal Components of the texture,CONJUNCTION
learning algorithms,classification,USED-FOR
face database,learning algorithms,EVALUATE-FOR
hyperplane algorithms,human classification,USED-FOR
feature space,hyperplane algorithms,FEATURE-OF
hyperplane,those,COMPARE
corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,Dutch,USED-FOR
statistical classification,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
maximum entropy,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
linguistic information,corpus-based supervised word sense disambiguation -LRB- WSD -RRB- system,PART-OF
linguistic information,maximum entropy,CONJUNCTION
classifiers,lemma-based approach,COMPARE
ambiguous wordform,classifiers,USED-FOR
inflected forms,ambiguous word,FEATURE-OF
lemma-based model,wordform model,COMPARE
Dutch Senseval-2 test data,lemma-based model,EVALUATE-FOR
coarse-to-fine energy minimization strategy,semantic video segmenta-tion,USED-FOR
hierarchical abstraction of the supervoxel graph,strategy,USED-FOR
it,energy function,USED-FOR
it,energy minimization algorithm,CONJUNCTION
energy minimization algorithm,energy function,USED-FOR
graph cuts,energy minimization algorithm,HYPONYM-OF
graph cuts,belief propagation,CONJUNCTION
belief propagation,energy minimization algorithm,HYPONYM-OF
It,inference,USED-FOR
datasets,It,EVALUATE-FOR
spatio-temporal continuity,datasets,FEATURE-OF
strategy,hierarchical approaches,COMPARE
ensemble methods,machine learning,USED-FOR
ensemble methods,natural language processing,USED-FOR
multi-strategy and multi-source approach,question answering,USED-FOR
strategies,answering agents,USED-FOR
one,strategies,HYPONYM-OF
knowledge-based mechanisms,one,USED-FOR
other,strategies,HYPONYM-OF
statistical techniques,other,USED-FOR
answering agents,multi-level answer resolution algorithm,USED-FOR
answer resolution algorithm,baseline system,COMPARE
average precision metric,answer resolution algorithm,EVALUATE-FOR
average precision metric,baseline system,EVALUATE-FOR
Word Identification,Chinese Natural Language Processing,HYPONYM-OF
mechanism,unknown words,USED-FOR
sublanguage,mechanism,USED-FOR
personal names,unknown words,HYPONYM-OF
Chinese newspapers,mechanism,USED-FOR
title-driven name recognition,mechanism,PART-OF
title-driven name recognition,adaptive dynamic word formation,CONJUNCTION
adaptive dynamic word formation,mechanism,PART-OF
adaptive dynamic word formation,identification of 2-character and 3-character Chinese names without title,CONJUNCTION
identification of 2-character and 3-character Chinese names without title,mechanism,PART-OF
Paul,computer text generation system,HYPONYM-OF
computer text generation system,cohesive text,USED-FOR
lexical substitutions,Paul,USED-FOR
pronominalization,superordinate substitution,COMPARE
superordinate substitution,definite noun phrase reiteration,COMPARE
system,antecedence recovery,USED-FOR
antecedence recovery,lexical substitutions,USED-FOR
method,positions of topic-bearing sentences,USED-FOR
genre-specific regularities of discourse structure,method,USED-FOR
method,applications,USED-FOR
information retrieval,applications,HYPONYM-OF
information retrieval,routing,CONJUNCTION
routing,applications,HYPONYM-OF
routing,text summarization,CONJUNCTION
text summarization,applications,HYPONYM-OF
framework,online multiclass learning,USED-FOR
notion of hypothesis sharing,framework,USED-FOR
multiclass Perceptron,framework,USED-FOR
it,methods,COMPARE
synthetic and natural datasets,it,EVALUATE-FOR
synthetic and natural datasets,methods,EVALUATE-FOR
supervised machine learning,statistical models of WH-questions,USED-FOR
shallow linguistic features of questions,models,USED-FOR
labeled directed graph,linguistic structures,USED-FOR
labeled directed graph,NLP tasks,USED-FOR
this,NLP tasks,USED-FOR
method,transformations,USED-FOR
annotated corpus,method,USED-FOR
method,applications,USED-FOR
identification of non-local depenencies,applications,HYPONYM-OF
Penn Treebank data,identification of non-local depenencies,USED-FOR
semantic role labeling,applications,HYPONYM-OF
Proposition Bank data,semantic role labeling,USED-FOR
linguistic information,ambiguity,USED-FOR
HBG,disambiguation process,USED-FOR
"lexical , syntactic , semantic , and structural information",HBG,USED-FOR
corpus of bracketed sentences,decision tree building,CONJUNCTION
corpus of bracketed sentences,parse tree,USED-FOR
decision tree building,parse tree,USED-FOR
parse tree,parse,USED-FOR
grammar tailoring,parse,USED-FOR
linguistic introspection,grammar tailoring,USED-FOR
P-CFG,robust probabilistic parsing models,HYPONYM-OF
HBG model,P-CFG,COMPARE
parsing accuracy rate,HBG model,EVALUATE-FOR
model-theoretic semantics,analysis,USED-FOR
machine-readable resources,word-sense ambiguity,USED-FOR
machine-readable resources,construction of large-scale knowledge sources,USED-FOR
accuracy,semantic classification,EVALUATE-FOR
verb semantics,syntactic behavior,CONJUNCTION
syntactic cues,semantic information,USED-FOR
techniques,word senses,USED-FOR
online sources,techniques,USED-FOR
TIPSTER Architecture,text applications,USED-FOR
common text processing modules,text applications,USED-FOR
user interfaces,applications,USED-FOR
Graphical User Interface -LRB- GUI -RRB- functions,TIPSTER applications,USED-FOR
CRL 's TIPSTER User Interface Toolkit -LRB- TUIT -RRB-,GUIs,USED-FOR
TUIT,software library,HYPONYM-OF
TUIT,multilingual TIPSTER user interfaces,USED-FOR
TUIT,TIPSTER modules,USED-FOR
non-literal aspects of communication,they,PART-OF
robust communication procedures,non-literal aspects of communication,HYPONYM-OF
graphics displays,personal computers,PART-OF
Lagrangian Particle Dynamics,segmentation of high density crowd flows,USED-FOR
Lagrangian Particle Dynamics,detection of flow instabilities,USED-FOR
segmentation of high density crowd flows,detection of flow instabilities,CONJUNCTION
moving crowd,flow field,USED-FOR
aperiodic dynamical system,flow field,USED-FOR
grid of particles,flow field,USED-FOR
numerical integration scheme,grid of particles,USED-FOR
Flow Map,evolution of particles,USED-FOR
spatial gradients,Cauchy Green Deformation tensor,USED-FOR
maximum eigenvalue,tensor,FEATURE-OF
maximum eigenvalue,Finite Time Lyapunov Exponent -LRB- FTLE -RRB- field,USED-FOR
Finite Time Lyapunov Exponent -LRB- FTLE -RRB- field,Lagrangian Coherent Structures -LRB- LCS -RRB-,USED-FOR
LCS,boundaries of the flow segments,USED-FOR
normalized cuts framework,boundaries of the flow segments,USED-FOR
Google Video,National Geographic documentary,CONJUNCTION
computational complexity,problems,EVALUATE-FOR
problems,SMT,PART-OF
computational complexity,problems,EVALUATE-FOR
IBM Models 1-2,models,COMPARE
polynomial time solution,hard problems,USED-FOR
polynomial time approximations,computations,USED-FOR
evaluation measures,machine translation,EVALUATE-FOR
evaluation measure,block reordering,USED-FOR
edit operation,block reordering,USED-FOR
quadratic time,measure,FEATURE-OF
word-dependent substitution costs,evaluation measures,USED-FOR
measure,human judgment,COMPARE
it,approaches,COMPARE
sentence-level correlation,it,EVALUATE-FOR
sentence-level correlation,approaches,EVALUATE-FOR
automatic evaluation measures,human judgment,CONJUNCTION
Rete and Treat algorithms,implementation techniques,HYPONYM-OF
Rete and Treat algorithms,Forward Chaining rule systems,USED-FOR
algorithms,language of limited expressive power,USED-FOR
algorithms,full unification,USED-FOR
compile time,run time,CONJUNCTION
compile time,full unification,EVALUATE-FOR
run time,full unification,EVALUATE-FOR
method,error correction,USED-FOR
ill-formed input,error correction,USED-FOR
dialogue acquisition and tracking algorithm,voice interactive system,USED-FOR
stereotypic dialogue,error correction methodology,USED-FOR
linear Fukunaga-Koontz Transform -LRB- FKT -RRB-,discriminative subspaces building approach,HYPONYM-OF
FKT,small-sample-size,USED-FOR
linear FKT,it,USED-FOR
it,multi-class problem,USED-FOR
it,higher dimensional -LRB- kernel -RRB- subspaces,USED-FOR
it,discrimination ability,FEATURE-OF
multi-class problem,higher dimensional -LRB- kernel -RRB- subspaces,CONJUNCTION
face recognition applications,Kernel Fukunaga-Koontz Transform,EVALUATE-FOR
non-linear generalization,domain specific problems,USED-FOR
task,paraphrases acquisition,COMPARE
paraphrases acquisition,semantic equivalence,USED-FOR
entailment acquisition,"asymmetric , or directional , relations",USED-FOR
method,verb entailment,USED-FOR
discourse relations,method,USED-FOR
parsed corpus,discourse relations,USED-FOR
method,mapping between verbs,USED-FOR
highly varied argument structures,mapping between verbs,FEATURE-OF
shape matching problem,point cloud matching,USED-FOR
shape representation,point clouds,USED-FOR
Schrödinger distance transform -LRB- SDT -RRB- representation,shape representation,HYPONYM-OF
SDT representation,analytic expression,HYPONYM-OF
square-root density,it,USED-FOR
intrinsic geometry,unit Hilbert sphere,FEATURE-OF
natural metric,space of densities,USED-FOR
analytic expressions,geodesic distance,USED-FOR
Riemannian framework,point cloud matching,USED-FOR
rigid and non-rigid transformations,point set matching,USED-FOR
framework,point set matching,USED-FOR
nonlinear optimization techniques,transformations,USED-FOR
algorithm,point set registration algorithms,COMPARE
quantitative metrics,algorithm,EVALUATE-FOR
quantitative metrics,point set registration algorithms,EVALUATE-FOR
natural language processing,trend survey on Japanese natural language processing studies,USED-FOR
NLP,trend surveys,USED-FOR
"high-temporal resolution , intracranial EEG data",analysis of discrete events,USED-FOR
linear manifold,HFO analysis,USED-FOR
those,HFOs,HYPONYM-OF
those,those,CONJUNCTION
those,HFOs,HYPONYM-OF
action potentials,discrete events,HYPONYM-OF
action potentials,multi-unit activity,CONJUNCTION
multi-unit activity,discrete events,HYPONYM-OF
ontology,system,USED-FOR
system,speech recognition hypotheses -LRB- SRH -RRB-,USED-FOR
dialogue management,information navigation system,USED-FOR
document knowledge base,information navigation system,USED-FOR
N-best candidates of ASR,contextual information,CONJUNCTION
N-best candidates of ASR,system,USED-FOR
contextual information,system,USED-FOR
system,generating responses or confirmations,USED-FOR
reward,minimization of Bayes risk,USED-FOR
reward,correct information presentation,USED-FOR
reward,penalty,CONJUNCTION
penalty,minimization of Bayes risk,USED-FOR
penalty,redundant turns,USED-FOR
spoken dialogue system '' Dialogue Navigator for Kyoto City '',strategy,EVALUATE-FOR
question-answering capability,spoken dialogue system '' Dialogue Navigator for Kyoto City '',FEATURE-OF
success rate of retrieval,framework,EVALUATE-FOR
success rate of retrieval,average number of turns,CONJUNCTION
average number of turns,framework,EVALUATE-FOR
average number of turns,information access,USED-FOR
rank,entropy,CONJUNCTION
pruning criteria,Chinese text input,USED-FOR
character error rate -LRB- CER -RRB-,pruning criteria,EVALUATE-FOR
error rate,rank,EVALUATE-FOR
method,model pruning,USED-FOR
annotating scheme,honorifics,USED-FOR
honorifics,respectful words,HYPONYM-OF
Honorifics,Japanese,USED-FOR
referential information,zero pronouns,USED-FOR
referential information,machine translation outputs,USED-FOR
distributed neural networks,Visually-guided arm reaching movements,USED-FOR
neuronal population vector -LRB- NPV -RRB-,coordinated action of neu-rons,USED-FOR
model,cortical motor command,USED-FOR
NPV,motor cortex,USED-FOR
two-layer self-organizing neural network,-LRB- angular -RRB- motor commands,USED-FOR
broadly-tuned -LRB- muscular -RRB- proprioceptive,two-layer self-organizing neural network,USED-FOR
broadly-tuned -LRB- muscular -RRB- proprioceptive,-LRB- cartesian -RRB- visual information,CONJUNCTION
-LRB- cartesian -RRB- visual information,two-layer self-organizing neural network,USED-FOR
arm reaching movements,image of cortical processing,FEATURE-OF
base classifiers,ensemble,USED-FOR
resampling pairwise constraints,ensemble construction,USED-FOR
pairwise constraints,ensemble construction,USED-FOR
projections,data representation,USED-FOR
pairwise constraints,projections,USED-FOR
data representation,base clas-sifiers,USED-FOR
Bagging and Boosting algorithms,resampling pairwise constraints,USED-FOR
algorithm,dimensional container packing problem,USED-FOR
algorithm,approach of wall building and layering,COMPARE
OR-Library,method,EVALUATE-FOR
average packing utilization,algorithm,EVALUATE-FOR
approaches,object category recognition,USED-FOR
datasets,approaches,USED-FOR
approach,object category,USED-FOR
pLSA,TSI-pLSA,USED-FOR
pLSA,visual words,USED-FOR
spatial information,TSI-pLSA,PART-OF
approach,intra-class variability,USED-FOR
approach,unrelated images,USED-FOR
intra-class variability,unrelated images,CONJUNCTION
search engines,unrelated images,USED-FOR
test sets,models,EVALUATE-FOR
test sets,methods,EVALUATE-FOR
methods,models,COMPARE
hand prepared datasets,methods,USED-FOR
speech processing,Human-Machine Communication,CONJUNCTION
Natural Language Processing,Human-Machine Communication,HYPONYM-OF
Natural Language Processing,Non Verbal and Multimodal Communication,CONJUNCTION
Non Verbal and Multimodal Communication,Human-Machine Communication,HYPONYM-OF
lookup table representations,analytical expressions,USED-FOR
pronominal anaphora resolution module,Lucy,PART-OF
Lucy,English understanding system,HYPONYM-OF
general and domain corpora,unsupervised automatic acquisition of Italian and English verb subcategorization frames -LRB- SCFs -RRB-,USED-FOR
syntactically shallow-parsed corpora,technique,USED-FOR
search heuristics,technique,USED-FOR
SCFs,lexico-syntactic knowledge,FEATURE-OF
Graph-cuts optimization,vision and graphics problems,USED-FOR
multi-core machines,graph-cuts optimization,USED-FOR
BK algorithm,serial algorithm,HYPONYM-OF
adaptive bottom-up approach,BK algorithm,USED-FOR
applications,approach,EVALUATE-FOR
2D/3D image segmentations,applications,HYPONYM-OF
2D/3D image segmentations,3D surface fitting,CONJUNCTION
3D surface fitting,applications,HYPONYM-OF
Intersection-over-Union -LRB- IoU -RRB- measure,evaluation function,HYPONYM-OF
Intersection-over-Union -LRB- IoU -RRB- measure,image segmentation systems,EVALUATE-FOR
first,dominant approaches,HYPONYM-OF
second approach,dominant approaches,HYPONYM-OF
EIoEU approximation,methods,USED-FOR
image segmentation tasks,approaches,EVALUATE-FOR
arc-gv,boosting algorithm,HYPONYM-OF
arc-gv,margins distribution,USED-FOR
arc-gv,AdaBoost,COMPARE
complexity,base classifiers,EVALUATE-FOR
base classifiers,arc-gv,HYPONYM-OF
transfer phase,machine translation -LRB- MT -RRB- systems,PART-OF
transfer phase,analysis,COMPARE
transfer phase,generation,COMPARE
analysis,generation,CONJUNCTION
case-based reasoning,machine translation,USED-FOR
Similarity-driven Transfer System -LRB- SimTran -RRB-,transfer system,HYPONYM-OF
Similarity-driven Transfer System -LRB- SimTran -RRB-,case-based MT -LRB- CBMT -RRB-,USED-FOR
optimal alignment of non-rigid surfaces,temporally consistent representation,USED-FOR
multi-view video observations,optimal alignment of non-rigid surfaces,USED-FOR
frame-to-frame alignment,non-rigid surface tracking,USED-FOR
dissimilarity measure,non-sequential tracking approaches,USED-FOR
robustness,non-rigid deformations,FEATURE-OF
Optimisation of the tree,non-sequential tracking,USED-FOR
temporal consistency,Optimisation of the tree,EVALUATE-FOR
cluster tree,sequential tracking in local segments,USED-FOR
cluster tree,global non-sequential traversal,USED-FOR
face,non-rigid surfaces,HYPONYM-OF
face,cloth,CONJUNCTION
cloth,non-rigid surfaces,HYPONYM-OF
cloth,people,CONJUNCTION
people,non-rigid surfaces,HYPONYM-OF
cluster tree,sequential and non-sequential tracking approaches,COMPARE
temporal consistency,cluster tree,EVALUATE-FOR
synthetic facial performance,cluster tree,EVALUATE-FOR
MT architectural designs,translation of English text into American Sign Language -LRB- ASL -RRB- animation,USED-FOR
semantic representation,spatially complex ASL phenomena,USED-FOR
virtual reality 3D scene modeling software,semantic representation,USED-FOR
classifier predicates,spatially complex ASL phenomena,HYPONYM-OF
transfer,direct approaches,CONJUNCTION
transfer,system,PART-OF
direct approaches,system,PART-OF
GPSG grammatical formalism,extension,USED-FOR
extension,grammar,USED-FOR
grammar,crossed serial dependencies,USED-FOR
extension,extension,USED-FOR
parsing method,extension,USED-FOR
parsing method,GPSG,USED-FOR
approach,localizing functional objects,USED-FOR
surveillance videos,localizing functional objects,USED-FOR
semantic object classes,domain knowledge,FEATURE-OF
